id,name,symbol_url
BTC,Bitcoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/4caf2b16a0174e26a3482cea69c34cba.png
LTC,Litecoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/a201762f149941ef9b84e0742cd00e48.png
VEN,VeChain (pre-swap),https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/99d66a679bdc4b8584ac2a23f912b398.png
XRP,Ripple,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/ba90bcb0cafb4801ac5dd310f47d6411.png
NMC,Namecoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/806538b8257e4a34b5ca749546a74512.png
USDT,Tether,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/5ed65416963e4e57998a3c302da8936e.png
DOGE,DogeCoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/63e240f3047f41c791796784bc719f63.png
PPC,Peercoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/efa68c178a554d54b51fafaef310a14b.png
TRC,Terracoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/a32d373b31124173ae5739f7bcd7eca3.png
NVC,Novacoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/a7462768a4ba40e9b1ca73120b8bf7b4.png
FTC,Feathercoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/70cbf2b20fb64b93bc88452968b55a95.png
ORO,ORO,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/bde625d6229342ccb4b09e08356a3878.png
TOR,Torcoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/ebd3726585004a99926148fbc0689529.png
BRIT,BritCoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/066dd48f180649c588f90335bee27c27.png
BTS,BitShares,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/d2c0f3ffcebc4476baea030357d0a68d.png
NXT,Nxt,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/777e9aacba2c4284a4c7abeaf87b8256.png
U,UCoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/f32f9586011f4358825c71a0f1a2981d.png
KST,StarCoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/18410e750ee849b387ed3f55d6dcc9a8.png
MUE,MonetaryUnit,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/7964c739a6ba455fadd23aeb5a829a0b.png
SONG,SongCoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/75bc12a3b27b429783db475d7856e6ff.png
NAV,NAVCoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/2a77f4579267472a92255c4d2e6cc9ad.png
RICE,RICE,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/0c5a5f1697204e9280ea7d6325634475.png
GEO,GeoCoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/d36c1cd0d4d2438fb780bc2966fdaa7f.png
RED,RedCoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/b311861cb258493982df963c33e31950.png
MTLMC,Metal Music Coin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/3fda1ae2033d4d3f804937599dfca907.png
TIT,Titcoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/dc9cf9cc5cb448b19c067b004e6af45e.png
CRAVE,Crave,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/40f83fc5e4474f2a864d0ef755c87b69.png
FONZ,Fonziecoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/5edbf9f2679044d98d09704a8e60b1c0.png
OZC,OZC,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/6e81011e897845e992872d5b41843bde.png
BITSD,BitSend,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/1a676ecb8136459aa03a4d7df20202a5.png
LUX,LUXCoin,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/23d814be39174081bd6ba17fa401481f.png
AIB,Advanced Internet Blocks,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/25e20c9455b240eb9e430ff1b4fb9119.png
BTX,Bitcore,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/604814cac0d8481dbea8852d127e18a4.png
DRZ,Droidz,https://s3.eu-central-1.amazonaws.com/bbxt-static-icons/type-id/png_512/5a8e66d1f2f043fe960f0d81df2dc198.png
