id,name,color,is_pinned,user_id
690941d8-80b4-4bb0-a023-195e2916ba0c,FirstChoice Resources,15351619,False,343
7de6d469-a21c-4fda-b9b7-4f9f560ab990,Prime Comrades,13088315,True,172
be91b74b-f184-4a30-9823-723893dffc6c,FirstChoice Growth,1588070,False,79
c87186ab-82fe-43cd-ab79-3e43bcb813b8,Glowed Association,5691196,True,64
867e24a5-ae91-4f24-a749-cfc34fe8fb67,Secure Circle,5158487,True,317
f9967848-1c0d-4dff-a950-20583cecfdbc,Shine Confederation,5510837,False,208
ffed1f0d-dffe-42ef-a330-0d93711db432,Bright Collaborators,8043785,False,235
8848276e-1868-4084-99e7-4712a673bbb9,Shiny Order,871921,True,169
3aa95d66-6e85-42c1-bc79-aa1c40c6ed37,Prime Solutions,8548162,True,419
c5c5bd43-2629-432c-a546-8eb781b875e2,Trust Associates,15995090,True,54
86017231-9d83-41cd-9869-d9d18873dbed,Secure League,9128894,False,308
471245cd-5c2b-4935-a762-9af54f7010e5,FirstChoice Partners,5580044,True,318
1bcd0fc7-da62-4322-9023-3334f7c716f5,Glowy Society,2645051,True,407
794fcb10-24e0-41ea-9c5e-e2055d131567,Future Solutions,6278512,False,433
51dbe47a-0d9f-455f-9863-2bb9dc40bdb5,Innovative Fund,8504134,False,71
d2277530-affb-4aaa-94c2-8acf1a4fd236,Alpha Development,6721395,False,286
c9c77b37-0288-4008-ba96-a592884a5f16,Prime Associates,4168545,False,350
215c9ea0-8ae6-40fb-9a2a-8f1148d2d7f1,Visionary Friends,10937227,False,174
0ad2c06a-3584-4962-a411-53671e138aaf,Brighter Strategies,9934991,True,67
365cd03c-d3ab-4dbe-bede-e42d5b6329c4,Prime Innovations,13642378,False,130
e32cc94f-cbd8-4fd3-9e72-2ce22d6df659,Elite Collaboration,2764049,False,50
ee8d0f6e-5925-46e9-bc56-d70845b8ee56,Global Partnership,5711467,True,260
54ffadfc-d595-4e52-86bd-e2ed47b3a266,Shining Partnership 841,5303685,True,65
53cb4995-3339-41f2-b6e1-b140c7865851,Brightest Associates,6357858,True,133
389103bb-1354-4de3-aae0-4358e2aa89d8,Dynamic Holdings,16057722,True,33
ce3b0b83-95df-4438-b1ce-8e4d78fa2ce2,Venture Sisterhood,10353954,True,377
71e32bcb-8426-4e25-b037-c721be05f487,Trust Assets,1890870,True,18
036d86e4-78bc-48ba-9b34-89c3e8103f6a,Glowed Union,2156952,False,43
b7d65043-798b-4d52-b121-35f34aa8b894,Visionary Equity,10127055,True,328
b9733b1e-cc5d-4c8f-bdab-034ae9ae3b79,Pioneer Cohort 212,7109484,False,498
28311363-b3c4-4a29-9376-521b624043ef,Quantum Fellowship,10637129,True,285
e91993b4-a233-4ad8-b99f-790a11d7faef,Global Investments,6561406,True,73
125ab80e-7dd9-4709-8dd7-f1ee715de7f7,Global Alliance,12341504,True,170
2a6ec032-e53b-4594-8097-67960d4f4c90,Legacy Colleagues,11335055,False,116
1124233c-8391-4488-8b0f-2131c47e3e9a,Glow Opportunities,15687144,True,74
3e9b3576-5dd7-4931-beba-2325621ddb0b,Premier Growth,12959766,True,295
fe9623eb-b501-4361-ab63-cfd505f85aa3,Elite Resources,7145988,False,80
ac396041-4dd0-444b-b65b-892af3b0b24d,Global Partners,7929429,True,255
cd929780-e2de-4b62-8844-4dc1b15a5289,Shine Equity,16209192,False,389
11996912-aff6-43f9-8c85-d1c68f0acb61,Shining Securities,9686135,True,426
16e43440-a2cb-4d43-942e-1df5d867665c,Peak Services,3039696,False,50
e76e1afa-756c-4e58-a533-ae8470135d43,Venture Collaboration,3133684,True,213
70811b91-1f10-40a7-9ffc-5ca54e74cd23,Glowing Alliance,10494249,False,175
5a29f3ff-c28c-4c79-8694-0bafaedc706d,Legacy Investments,8863406,True,209
afb3f294-2bab-4d8a-b7ee-4fe5c939a569,Venture Equity,7326879,True,329
1f22db58-fed0-4e2f-8cab-edcaf605d662,Alpha Coalition,6401973,False,481
924d13e2-c7d0-43bf-a1c1-60fb2ddd1b44,Elite Fund,11398310,False,294
8da29db6-3aca-4a08-81ab-30007dce96d8,Future Synergy,8573975,True,347
6aabb191-48da-4baa-abd0-535ca8a9df31,Strategic Partnership,8657938,False,5
28c79e45-66b7-409b-82d9-835bfd10976c,Glowy Brotherhood,9332945,True,131
fffc5097-8b54-497a-8720-7b782887b1e8,Legacy Fraternity,9803096,True,219
a4a6e797-cb5c-4c7b-918f-f29fa1047a52,Elite Comrades,4459653,False,245
19d24fb7-b4e9-497a-8779-e0bd346700f0,Visionary Innovations,2997645,False,174
d3166164-fa2c-4070-a0ac-876bf8790e53,Venture Consulting,13725371,True,355
1eac037b-1f18-4ac7-8a09-7483587d4311,Brightest Partners,12576180,True,84
f747ee2e-c9e0-4981-915b-89d4208af98e,Alpha Circle,6261498,True,69
b6436d15-3b32-47e6-96f9-e3c5ec03f956,Prime Collaborators,12561333,True,378
dab2b873-6dce-43de-98df-ed32d6cea4ca,Future Circle,11893929,True,322
fefda008-4290-4d35-8e03-c1b741fc5f59,Brightest Cooperation,7883179,False,490
7f0c4933-5788-4bb5-810e-c918590c5196,Ultimate Growth,2428249,True,21
c1d4bab7-7ee4-470d-bdda-8756e8a28733,Shiny Cohort,6926832,False,223
0c157672-174c-45ac-a0c0-179263a7d91f,Bright Consulting,5725955,False,407
e8fd727c-209c-42c5-b62d-53af97847d81,Pioneer Solutions,5199501,False,6
74812315-582c-4aa5-9e36-2e0ea03a00bd,Future Friends,2570498,False,482
02494c9d-cde1-40df-a842-d98addf2671b,Peak Sorority,11218499,False,251
dc370e00-cc72-4614-9f85-5a66ae5c3e18,FirstChoice Services,3433046,True,366
741180cf-d4ce-47e9-a204-9ebce4cf8806,Peak Union,7689355,False,26
5475100c-5b3b-4966-bcd9-eae618fa613d,Glowing Cohort,11639000,True,325
ecf465da-6f1e-4a6c-b4ce-e6a164eb016d,Ultimate Allies,14643205,True,73
452c078b-fba5-4485-abc0-25aaf2fd1b8d,Shining Partners,407177,False,37
77b38ac3-25f2-4d4c-8dd2-2e489a52c586,Visionary Finance,6947560,True,117
bdc71329-40c0-4597-b9d5-45577959e637,Glowy Partners,15389461,False,302
0282d396-9c33-4682-b8f0-50e824418f13,Brightest Accomplices,2200572,False,455
294368fd-37e8-4e7a-a889-22c58fe68975,Dynamic Confederates,6946499,True,136
ed1dfbb1-df6e-44e1-9a42-c7613ffb882f,Shiny Sisterhood,15798435,False,236
767ed1fe-ef55-4cd1-b49c-89e85051afae,Ultimate Club,9719718,False,205
